"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923364.98; Nummer 72; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.07; Nummer 73; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.15; Nummer 74; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.23; Nummer 75; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.31; Nummer 76; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.4; Nummer 77; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.48; Nummer 78; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.56; Nummer 79; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.64; Nummer 80; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.72; Nummer 81; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.8; Nummer 82; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.89; Nummer 83; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923365.97; Nummer 84; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.06; Nummer 85; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.14; Nummer 86; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.22; Nummer 87; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.31; Nummer 88; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.39; Nummer 89; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.47; Nummer 90; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.55; Nummer 91; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.64; Nummer 92; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.72; Nummer 93; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.8; Nummer 94; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.88; Nummer 95; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923366.96; Nummer 96; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.04; Nummer 97; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.13; Nummer 98; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.21; Nummer 99; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.3; Nummer 100; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.38; Nummer 101; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.46; Nummer 102; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.54; Nummer 103; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.62; Nummer 104; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.7; Nummer 105; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.79; Nummer 106; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.87; Nummer 107; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923367.95; Nummer 108; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.04; Nummer 109; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.12; Nummer 110; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.2; Nummer 111; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.28; Nummer 112; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.37; Nummer 113; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.45; Nummer 114; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.54; Nummer 115; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.62; Nummer 116; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.7; Nummer 117; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.79; Nummer 118; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.87; Nummer 119; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923368.95; Nummer 120; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.04; Nummer 121; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.12; Nummer 122; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923369.2; Nummer 123; ;objekt
